run_id,timestamp_utc,git_sha,dataset_hash,stage,profile_family,allocation_method,bin_ratio,prominence_threshold,session_sample,command,status,selected,notes
S01B-REAL-001,2026-07-24T11:05:00Z,UNCOMMITTED,b4fcf58ff5db70d2a8d45d605ce5a2742ab003a1cf694ef2721a04562b6608e2,stage_01b,all,all,all,all,"2025-01-06|2025-01-07",PYTHONPATH=src python3 scripts/run_stage_01b_reconciliation.py,failed,false,"all bins and freeze hashes matched; eight uniform profiles exposed 1e-34 to 5e-34 aggregate Decimal residuals"
S01B-REAL-002,2026-07-24T11:12:00Z,UNCOMMITTED,b4fcf58ff5db70d2a8d45d605ce5a2742ab003a1cf694ef2721a04562b6608e2,stage_01b,all,all,"0.05|0.10|0.20","1.5|2.0|2.5","2025-01-06|2025-01-07",PYTHONPATH=src python3 scripts/run_stage_01b_reconciliation.py,passed,false,"16 profiles; exact volume/TPO/full-bin/freeze reconciliation"
S01B-DET-001,2026-07-24T11:22:00Z,UNCOMMITTED,b4fcf58ff5db70d2a8d45d605ce5a2742ab003a1cf694ef2721a04562b6608e2,stage_01b,all,all,all,all,stage_01b_outputs,"rerun oracle and real reconciliation then diff SHA-256 inventory",passed,false,"all Stage 1B artifacts byte-identical"
S01B-TEST-001,2026-07-24T11:24:00Z,UNCOMMITTED,SYNTHETIC_AND_REAL_FIXTURE,stage_01b,all,all,all,all,all_tests,PYTHONPATH=src pytest -q,passed,false,"64 passed before final NQ model guard test"
S01B-TEST-002,2026-07-24T11:29:00Z,UNCOMMITTED,SYNTHETIC_AND_REAL_FIXTURE,stage_01b,all,all,all,all,all_tests,PYTHONPATH=src pytest -q,passed,false,"65 passed; no visual generator invoked"
S01B-REAL-003,2026-07-24T11:29:00Z,UNCOMMITTED,b4fcf58ff5db70d2a8d45d605ce5a2742ab003a1cf694ef2721a04562b6608e2,stage_01b,all,all,"0.05|0.10|0.20","1.5|2.0|2.5","2025-01-06|2025-01-07",PYTHONPATH=src python3 scripts/run_stage_01b_reconciliation.py,passed,false,"compact final evidence; 16/16 profiles PASS; 1598303 exact uniform and 57260 exact TPO"
S01B-FINAL-001,2026-07-24T11:30:41Z,be525b971419e7f9371f979c691d5e118397a252,MULTI_NQ_AND_SYNTHETIC,stage_01b,all,all,"0.05|0.10|0.20","1.5|2.0|2.5",final_gate,"PYTHONPATH=src pytest -q; oracle reconciliation; real reconciliation; SHA-256 rerun diff",passed,true,"65 tests; 6 fixtures; 16 real profiles; byte-identical; Stage 1 profile foundation PASS"
S02-SPEC-TEST-001,2026-07-24T11:57:00Z,697779c958f817a251b52721f1c82011c402e407,SYNTHETIC_AND_REAL_FIXTURE,stage_02,all,all,all,all,spec_lock,pytest -q,failed,false,"environment invocation omitted PYTHONPATH; collection stopped with ModuleNotFoundError and no tests ran"
S02-SPEC-TEST-002,2026-07-24T11:58:00Z,697779c958f817a251b52721f1c82011c402e407,SYNTHETIC_AND_REAL_FIXTURE,stage_02,all,all,all,all,spec_lock,PYTHONPATH=src pytest -q,passed,false,"65 passed; no market-data access and no visual generator invoked"
S02-EVENT-TEST-001,2026-07-24T12:01:00Z,521cf3d8e8a8a5b5c659b0bbfac05a1ec05b9b0c,SYNTHETIC_HAND_CALCULATED,stage_02,all,all,all,all,event_control_metric,PYTHONPATH=src pytest -q,passed,false,"95 passed; relationship, interaction, control, and acceptance fixtures"
S02-EVENT-TEST-002,2026-07-24T12:03:00Z,521cf3d8e8a8a5b5c659b0bbfac05a1ec05b9b0c,SYNTHETIC_HAND_CALCULATED,stage_02,all,all,all,all,event_control_metric,PYTHONPATH=src pytest -q,passed,false,"97 passed after full causal 15-minute feature fixtures"
S02-EVENT-TEST-003,2026-07-24T12:04:00Z,521cf3d8e8a8a5b5c659b0bbfac05a1ec05b9b0c,SYNTHETIC_HAND_CALCULATED,stage_02,all,all,all,all,event_control_metric,"PYTHONPATH=src python3 -m compileall -q src tests; PYTHONPATH=src pytest -q",passed,false,"98 passed; deterministic compressed-ledger fixture; no market-data access"
S02-AMD-TEST-001,2026-07-24T12:11:00Z,a966f74a3b5d27efe656f81887988514016bfa0c,SYNTHETIC_AND_REAL_FIXTURE,stage_02,all,all,all,all,amendment_01_precondition,PYTHONPATH=src pytest -q,passed,false,"98 passed; local and remote a966f74; no Stage 2 data access or empirical output"
S02-AMD-TEST-002,2026-07-24T13:04:00Z,a966f74a3b5d27efe656f81887988514016bfa0c,SYNTHETIC_AND_REAL_FIXTURE,stage_02,all,all,all,all,amendment_01,PYTHONPATH=src pytest -q,passed,false,"100 passed including amendment-before-access and forbidden-partition assertions; no market-data access"
S02-MATCH-TEST-001,2026-07-24T13:08:00Z,e5010f5,SYNTHETIC_HAND_CALCULATED,stage_02,all,all,all,all,matching_statistics,PYTHONPATH=src pytest -q tests/test_matching.py tests/test_episode_clustering.py,failed,false,"8 passed; deterministic reversed iterator fixture exposed one-shot control iterator defect"
S02-MATCH-TEST-002,2026-07-24T13:11:00Z,e5010f5,SYNTHETIC_HAND_CALCULATED,stage_02,all,all,all,all,matching_statistics,PYTHONPATH=src pytest -q,passed,false,"114 passed; primary/secondary isolation, no reuse, clustering, SMD, grid, and deterministic session-pair bootstrap"
S02-PIPE-TEST-001,2026-07-24T13:18:00Z,c1fb6d4,SYNTHETIC_HAND_CALCULATED,stage_02,all,all,all,all,development_pipeline,"PYTHONPATH=src python3 -m compileall -q src scripts tests; PYTHONPATH=src pytest -q",passed,false,"116 passed; causal contract and trading-date pipeline fixtures; no market-data access"
