access_id,timestamp_utc,path,operation,years_whose_market_rows_parsed,row_scope,result
PA-011,2026-07-24T10:50:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2025.zip,sha256_member_metadata_and_permitted_section_integrity_scan,"2025|2026","741444 permitted rows; 2025-01-01T23:00:00Z through 2026-06-07T23:59:00Z","NQ.FUT parent extract; 656207 outright rows and 85237 spread rows"
PA-012,2026-07-24T11:05:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2025.zip,real_profile_reconciliation_attempt,2025,"2025-01-01T00:00:00Z through 2025-01-08T23:00:00Z","16 profiles; exposed sub-1e-33 aggregate Decimal residual; no later behavior read"
PA-013,2026-07-24T11:12:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2025.zip,corrected_real_profile_reconciliation,2025,"2025-01-01T00:00:00Z through 2025-01-08T23:00:00Z","16 profiles PASS; NQH5 selected causally; all bins independently equal"
PA-014,2026-07-24T11:22:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2025.zip,deterministic_real_profile_rerun,2025,"2025-01-01T00:00:00Z through 2025-01-08T23:00:00Z","16 profiles PASS; output hashes byte-identical"
PA-015,2026-07-24T11:27:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2025.zip,compact_evidence_rerun,2025,"2025-01-01T00:00:00Z through 2025-01-08T23:00:00Z","16 profiles PASS; redundant 254MB intermediate per-bin files replaced by compact selected-bin ledger"
PA-016,2026-07-24T13:11:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2021.zip,stage_02_full_year_pre_access,2021,"raw prefix-guarded 2021 rows only","AUTHORIZED PRE-RUN; Stage 2 checkpoint year 2021; stop before 2022 fields"
PA-017,2026-07-24T13:18:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2021.zip,stage_02_full_year_attempt_result,2021,"454877 outright NQ rows; no 2022 fields parsed","STOPPED without accepted output; performance profiling found repeated causal-selection scans; definitions unchanged"
PA-018,2026-07-24T13:19:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2021.zip,stage_02_full_year_rerun_pre_access,2021,"raw prefix-guarded 2021 rows only","AUTHORIZED PRE-RUN after indexed causal-selection engineering fix; stop before 2022 fields"
PA-019,2026-07-24T13:33:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2021.zip,stage_02_full_year_rerun_result,2021,"454877 outright NQ rows; no 2022 fields parsed","STOPPED without accepted output; profiling found duplicate control scans and linear ATR lookup; definitions unchanged"
PA-020,2026-07-24T13:34:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2021.zip,stage_02_full_year_optimized_pre_access,2021,"raw prefix-guarded 2021 rows only","AUTHORIZED PRE-RUN after control and ATR indexing; stop before 2022 fields"
PA-021,2026-07-24T13:48:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2023.zip,stage_02_full_year_pre_access,2023,"raw prefix-guarded 2023 rows only","AUTHORIZED PRE-RUN; independent Stage 2 checkpoint year 2023; stop before 2024 fields"
PA-022,2026-07-24T13:49:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2025.zip,stage_02_full_year_pre_access,2025,"raw prefix-guarded 2025 rows only","AUTHORIZED PRE-RUN; independent Stage 2 checkpoint year 2025"
PA-023,2026-07-24T13:49:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2025.zip,stage_02_partial_year_pre_access,2026,"raw prefix-guarded 2026 rows only","AUTHORIZED PRE-RUN; independent Stage 2 checkpoint partial 2026"
PA-024,2026-07-24T14:11:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2021.zip,stage_02_full_year_result,2021,"454877 outright NQ rows; no 2022 fields parsed","PASS; checkpoint_2021.json and eight deterministic compressed ledgers completed"
PA-025,2026-07-24T14:11:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2023.zip,stage_02_parallel_attempt_result,2023,"permitted 2023 rows only; no 2024 fields parsed","STOPPED without accepted output to remove swap pressure; sequential rerun required"
PA-026,2026-07-24T14:11:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2025.zip,stage_02_parallel_attempt_result,2025,"permitted 2025 rows only","STOPPED without accepted output to remove swap pressure; sequential rerun required"
PA-027,2026-07-24T14:11:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2025.zip,stage_02_parallel_attempt_result,2026,"permitted partial 2026 rows only","STOPPED without accepted output to remove swap pressure; sequential rerun required"
PA-028,2026-07-24T14:12:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2023.zip,stage_02_full_year_sequential_pre_access,2023,"raw prefix-guarded 2023 rows only","AUTHORIZED PRE-RUN; sequential checkpoint; stop before 2024 fields"
PA-029,2026-07-24T15:16:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2023.zip,stage_02_full_year_result,2023,"456312 outright NQ rows; no 2024 fields parsed","PASS; checkpoint_2023.json and eight deterministic compressed ledgers completed"
PA-030,2026-07-24T15:17:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2025.zip,stage_02_full_year_sequential_pre_access,2025,"raw prefix-guarded 2025 rows only","AUTHORIZED PRE-RUN; sequential checkpoint year 2025"
PA-031,2026-07-25T09:57:53Z,/workspace/nqdata/nq2018.zip,stage_02_recompute_batch_pre_access,2019,"raw prefix-guarded 2019 rows only","AUTHORIZED PRE-RUN; Dylan authorized recomputation of all five declared development partitions after F-05; sequential batch 2019/2021/2023/2025/2026; recorded at launch"
PA-032,2026-07-25T10:18:55Z,/workspace/nqdata/nq2018.zip,stage_02_full_year_result,2019,"430528 outright NQ rows; no 2020 fields parsed","PASS; checkpoint_2019.json and eight deterministic compressed ledgers completed; dataset sha256 910fcd9faf31ea1a9a485398e6771e9e44eb3314f0ebbff84ed40b6bf2545203 computed from ingested bytes"
PA-033,2026-07-25T10:29:45Z,/workspace/nqdata/nq2021.zip,stage_02_recompute_pre_access,2021,"raw prefix-guarded 2021 rows only","AUTHORIZED PRE-RUN; recompute superseding voided S02-DATA-2021-003; stop before 2022 fields"
PA-034,2026-07-25T11:02:22Z,/workspace/nqdata/nq2021.zip,stage_02_full_year_result,2021,"454877 outright NQ rows; no 2022 fields parsed","PASS; checkpoint_2021.json and eight deterministic compressed ledgers completed; dataset sha256 0336cfac5fe804a4c756ff9372a0bad314e526c389e5dd8da3774883a29b2f62 computed from ingested bytes; all seven row counts independently reproduce the voided run"
PA-035,2026-07-25T11:02:22Z,/workspace/nqdata/nq2023.zip,stage_02_recompute_pre_access,2023,"raw prefix-guarded 2023 rows only","AUTHORIZED PRE-RUN; recompute superseding voided S02-DATA-2023-001; stop before 2024 fields"
PA-036,2026-07-25T11:34:51Z,/workspace/nqdata/nq2023.zip,stage_02_full_year_result,2023,"456312 outright NQ rows; no 2024 fields parsed","PASS; checkpoint_2023.json and eight deterministic compressed ledgers completed; dataset sha256 c982860543d8db5d18d9cbe751d9655f8e46bf76ae5513b7fd7a9dcd7b740773 computed from ingested bytes; all seven row counts independently reproduce the voided run"
PA-037,2026-07-25T11:34:51Z,/workspace/nqdata/nq2025.zip,stage_02_recompute_pre_access,2025,"raw prefix-guarded 2025 rows only","AUTHORIZED PRE-RUN; first completed 2025 checkpoint; prior attempts were interrupted without accepted output"
PA-038,2026-07-25T12:12:44Z,/workspace/nqdata/nq2025.zip,stage_02_partial_year_result,2025,"partial 2025 checkpoint killed by the kernel out-of-memory killer at 15.99 GB resident during ledger writes","STOPPED without accepted output; five partial ledgers deleted; no checkpoint_2025.json was written; requeued after the streaming-writer correction"
PA-039,2026-07-25T12:12:44Z,/workspace/nqdata/nq2025.zip,stage_02_partial_year_pre_access,2026,"raw prefix-guarded 2026 rows only","AUTHORIZED PRE-RUN; partial 2026 development partition"
PA-040,2026-07-25T12:28:32Z,/workspace/nqdata/nq2025.zip,stage_02_partial_year_result,2026,"199294 outright NQ rows through 2026-06-07","PASS; checkpoint_2026.json and eight deterministic compressed ledgers completed; dataset sha256 b4fcf58ff5db70d2a8d45d605ce5a2742ab003a1cf694ef2721a04562b6608e2 computed from ingested bytes"
PA-041,2026-07-25T12:49:53Z,/workspace/nqdata/nq2025.zip,stage_02_full_year_pre_access,2025,"raw prefix-guarded 2025 rows only","AUTHORIZED PRE-RUN; 2025 rerun under the streaming ledger writer after the out-of-memory stop"
PA-042,2026-07-25T13:20:00Z,/workspace/nqdata/nq2025.zip,stage_02_full_year_result,2025,"456913 outright NQ rows","PASS; checkpoint_2025.json and eight deterministic compressed ledgers completed; dataset sha256 b4fcf58ff5db70d2a8d45d605ce5a2742ab003a1cf694ef2721a04562b6608e2 computed from ingested bytes; first ever completed 2025 checkpoint"
PA-043,2026-07-25T21:20:00Z,/workspace/nqdata/nq2018.zip,generation_3_atomic_pilot_pre_access,2019,"raw prefix-guarded 2019 rows only","AUTHORIZED PRE-RUN; Generation 3 atomic pilot; archive container named nq2018 read solely for 2019 rows under the year-prefix guard; stop before any 2020 field"
PA-044,2026-07-25T21:49:09Z,/workspace/nqdata/nq2018.zip,generation_3_atomic_pilot_result,2019,"430528 outright NQ rows; no 2018 and no 2020 row parsed","PILOT NOT ACCEPTED; ledgers retained as evidence; F-08 shows the locked prominence rule selects sparse tail plateaus and rejects dense peaks; dataset sha256 910fcd9faf31ea1a9a485398e6771e9e44eb3314f0ebbff84ed40b6bf2545203"
PA-045,2026-07-26T08:51:48Z,/workspace/nqdata/nq2018.zip,generation_3_pilot_v2_structural_pre_access,2019,"raw prefix-guarded 2019 rows only","AUTHORIZED PRE-RUN; Pilot V2 structural-only; no forward outcome computed"
PA-046,2026-07-26T08:54:35Z,/workspace/nqdata/nq2018.zip,generation_3_pilot_v2_structural_result,2019,"430528 outright NQ rows; no 2018 and no 2020 row parsed","STRUCTURALLY ACCEPTED; S01-S13 all pass; 6852 profiles; 10395 accepted nodes; dataset sha256 910fcd9faf31ea1a9a485398e6771e9e44eb3314f0ebbff84ed40b6bf2545203"
PA-047,2026-07-26T15:48:04Z,/workspace/nqdata/nq2018.zip,generation_3_pilot_v3_structural_pre_access,2019,"raw prefix-guarded 2019 rows only","AUTHORIZED PRE-RUN; Pilot V3 composite structural-only; no forward outcome computed"
PA-048,2026-07-26T15:56:50Z,/workspace/nqdata/nq2018.zip,generation_3_pilot_v3_structural_result,2019,"430528 outright NQ rows; no 2018 and no 2020 row parsed","STRUCTURALLY ACCEPTED; S01-S23 all pass; 42105 accepted nodes; 28489 unique non-POC; dataset sha256 910fcd9faf31ea1a9a485398e6771e9e44eb3314f0ebbff84ed40b6bf2545203"
PA-049,2026-07-26T20:50:00Z,/workspace/nqdata/nq2018.zip,generation_3_pilot_v4_structural_pre_access,2019,"raw prefix-guarded 2019 rows only","AUTHORIZED PRE-RUN; Pilot V4 final detector structural-only; no forward outcome computed"
PA-050,2026-07-26T21:11:11Z,/workspace/nqdata/nq2018.zip,generation_3_pilot_v4_structural_result,2019,"430528 outright NQ rows; no 2018 and no 2020 row parsed","STRUCTURALLY ACCEPTED; S01-S25 all pass; 8594 accepted nodes; 4072 unique non-POC; 2681 unique POC; dataset sha256 910fcd9faf31ea1a9a485398e6771e9e44eb3314f0ebbff84ed40b6bf2545203"
PA-051,2026-07-27T00:00:00Z,/workspace/nqdata/nq2018.zip,container_access_year_filtered_ingestion_audit,2019,"container traversed over 2018 and 2019; 430528 rows admitted for 2019; 481125 rows excluded as 2018 and never parsed into a Bar; 30906 non-outright rows skipped","CONTAINER ACCESS DISTINCT FROM EMPIRICAL-YEAR ACCESS; zero 2018 rows entered any Bar, profile, event, ledger, summary or statistic; admitted dataset sha256 910fcd9faf31ea1a9a485398e6771e9e44eb3314f0ebbff84ed40b6bf2545203"
