relationship_id,gate,status,evidence
R03,G01,UNDERPOWERED,"unique_primary_episodes=89; years_20plus=2; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R03,G02,UNDERPOWERED,"unique_primary_episodes=89; years_20plus=2; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R03,G03,UNDERPOWERED,"unique_primary_episodes=89; years_20plus=2; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R03,G04,UNDERPOWERED,"unique_primary_episodes=89; years_20plus=2; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R03,G05,UNDERPOWERED,"unique_primary_episodes=89; years_20plus=2; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R03,G06,UNDERPOWERED,"unique_primary_episodes=89; years_20plus=2; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R03,G07,UNDERPOWERED,"unique_primary_episodes=89; years_20plus=2; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R03,G08,UNDERPOWERED,"unique_primary_episodes=89; years_20plus=2; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R04,G01,UNDERPOWERED,"unique_primary_episodes=73; years_20plus=2; control_lanes={'C01': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}}"
R04,G02,UNDERPOWERED,"unique_primary_episodes=73; years_20plus=2; control_lanes={'C01': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}}"
R04,G03,UNDERPOWERED,"unique_primary_episodes=73; years_20plus=2; control_lanes={'C01': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}}"
R04,G04,UNDERPOWERED,"unique_primary_episodes=73; years_20plus=2; control_lanes={'C01': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}}"
R04,G05,UNDERPOWERED,"unique_primary_episodes=73; years_20plus=2; control_lanes={'C01': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}}"
R04,G06,UNDERPOWERED,"unique_primary_episodes=73; years_20plus=2; control_lanes={'C01': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}}"
R04,G07,UNDERPOWERED,"unique_primary_episodes=73; years_20plus=2; control_lanes={'C01': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}}"
R04,G08,UNDERPOWERED,"unique_primary_episodes=73; years_20plus=2; control_lanes={'C01': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}}"
R05,G01,UNDERPOWERED,"unique_primary_episodes=70; years_20plus=1; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R05,G02,UNDERPOWERED,"unique_primary_episodes=70; years_20plus=1; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R05,G03,UNDERPOWERED,"unique_primary_episodes=70; years_20plus=1; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R05,G04,UNDERPOWERED,"unique_primary_episodes=70; years_20plus=1; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R05,G05,UNDERPOWERED,"unique_primary_episodes=70; years_20plus=1; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R05,G06,UNDERPOWERED,"unique_primary_episodes=70; years_20plus=1; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R05,G07,UNDERPOWERED,"unique_primary_episodes=70; years_20plus=1; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R05,G08,UNDERPOWERED,"unique_primary_episodes=70; years_20plus=1; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
